[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33546, 33554, 33570, 36882, 36898, 36910, 37734, 37748, 37764, 38766, 38774, 38780, 40450, 40458, 40474 | Ports Scanned: 15 | Start: Wed Jul 30 15:29:46 2025 | Duration: 9.4s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:29:46 2025 | Duration: 9.4s
[ALERT] OS_FINGERPRINT from 142.250.187.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:29:28 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:28:16 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:28:16 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:28:16 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:28:16 2025 | Duration: 27.1s
[ALERT] OS_FINGERPRINT from 34.120.208.123 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:37:29 2025 | Duration: 0.0s
[ALERT] UDP_SCAN from 172.20.10.1 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35761, 43816, 44025, 46783, 47653, 50123, 50559, 52332, 53679, 57839, 59155 | Ports Scanned: 11 | Start: Wed Jul 30 15:37:50 2025 | Duration: 4.3s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:38:00 2025 | Duration: 9.5s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:37:59 2025 | Duration: 9.5s
