[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1013, 1025, 1029, 1041, 1044, 1050, 1068, 1070, 1088, 13, 16086, 1645, 16498, 16832, 16918 | Ports Scanned: 15 | Count: 198 | Start: Tue Oct 28 09:41:58 2025 | Duration: 6.585467s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1001, 10080, 1020, 1039, 1054, 1056, 1080, 1090, 111, 135, 16420, 16700, 16896, 16939, 17592 | Ports Scanned: 15 | Count: 200 | Start: Tue Oct 28 09:41:47 2025 | Duration: 6.568776s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1000, 1008, 1024, 1046, 1059, 1064, 1072, 120, 1346, 137, 16402, 16680, 16816, 16938, 16972 | Ports Scanned: 15 | Count: 200 | Start: Tue Oct 28 09:42:08 2025 | Duration: 6.606874s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1001, 1020, 1027, 1041, 1043, 1050, 1080, 1088, 1090, 1105, 111, 1433, 1485, 16498, 16896 | Ports Scanned: 15 | Count: 200 | Start: Tue Oct 28 09:41:53 2025 | Duration: 6.963579s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1034, 1045, 1046, 1072, 11487, 120, 123, 137, 161, 16402, 16816, 16829, 16862, 16972, 1701 | Ports Scanned: 15 | Count: 199 | Start: Tue Oct 28 09:42:13 2025 | Duration: 6.347707s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1066, 1234, 139, 1484, 16449, 1646, 16545, 16548, 16779, 16829, 16862, 17185, 1719, 17205, 17302 | Ports Scanned: 15 | Count: 199 | Start: Tue Oct 28 09:42:18 2025 | Duration: 2.078478s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33044, 33740, 35727, 37605, 39801, 41131, 44393, 47954, 48864, 49057, 50393, 51654, 53765, 56849 | Ports Scanned: 14 | Count: 14 | Start: Tue Oct 28 09:45:12 2025 | Duration: 6.768753s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33740, 35727, 37605, 39801, 41131, 47954, 48864, 50393, 51654, 53765, 56849 | Ports Scanned: 11 | Count: 11 | Start: Tue Oct 28 09:45:15 2025 | Duration: 4.001423s
[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 22 | Start: Tue Oct 28 09:51:53 2025 | Duration: 0.059409s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33704, 34140, 34557, 35328, 35464, 35986, 36159, 36431, 36676, 37773, 38472, 38879, 39209, 40424, 40965 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
